id,product_name,return_amount,total_sold,date
499,"Wine - White, Schroder And Schyl",65,27,06/01/2020
500,Blueberries - Frozen,47,65,29/05/2019
501,Cheese - Perron Cheddar,55,77,23/10/2019
502,Cheese - Wine,35,13,02/01/2019
503,Numi - Assorted Teas,98,30,15/11/2019
504,Salmon - Fillets,35,100,17/03/2020
505,Stock - Fish,37,3,29/02/2020
506,Nantucket - 518ml,12,92,17/03/2019
507,Broom - Angled,20,51,24/12/2019
508,Honey - Lavender,36,77,24/01/2020
509,Tea - Camomele,31,67,07/03/2019
510,Snapple Lemon Tea,52,8,06/12/2019
511,Beef - Ox Tongue,50,79,14/01/2020
512,Veal - Insides Provini,3,85,05/02/2020
513,Sauce - Caesar Dressing,61,51,30/05/2019
514,Madeira,98,75,31/01/2019
515,Piping Jelly - All Colours,53,36,18/04/2019
516,Halibut - Fletches,14,36,05/03/2019
517,Raspberries - Frozen,24,69,20/01/2019
518,Crackers - Water,82,10,18/11/2019
519,"Wine - Red, Cooking",18,34,17/04/2019
520,"Potatoes - Purple, Organic",41,20,04/07/2019
521,Cranberries - Dry,31,32,26/01/2019
522,Yoplait - Strawbrasp Peac,17,12,19/03/2019
523,Mustard - Dijon,39,83,29/06/2019
524,Plasticforkblack,73,6,03/01/2020
525,Cranberries - Dry,62,55,26/02/2019
526,Juice - Mango,22,35,31/10/2019
527,Island Oasis - Peach Daiquiri,51,76,19/01/2019
528,"Wine - Red, Gamay Noir",65,4,10/10/2019
529,Dooleys Toffee,83,27,09/03/2019
530,"Marsala - Sperone, Fine, D.o.c.",84,47,22/08/2019
531,"Soup - Beef Conomme, Dry",9,100,25/03/2019
532,The Pop Shoppe - Grape,85,2,05/05/2019
533,Lid Tray - 12in Dome,2,64,05/04/2019
534,Beer - Original Organic Lager,85,92,26/07/2019
535,Mudslide,75,75,26/01/2019
536,Island Oasis - Sweet And Sour Mix,85,49,15/03/2019
537,Longos - Burritos,68,53,10/03/2020
538,"Lamb - Loin, Trimmed, Boneless",7,30,14/04/2020
539,Brandy - Bar,88,54,14/03/2020
540,"Bread - Rolls, Corn",32,8,03/07/2019
541,Crackers - Soda / Saltins,63,6,05/11/2019
542,Smoked Tongue,36,61,08/02/2020
543,Beans - Fine,22,25,03/03/2019
544,Pastry - Trippleberry Muffin - Mini,35,34,30/01/2020
545,Beer - Camerons Cream Ale,85,18,28/07/2019
546,"Beef - Baby, Liver",48,33,29/06/2019
547,"Coke - Classic, 355 Ml",80,15,05/10/2019
548,"Juice - Grape, White",22,62,16/03/2019
549,Yams,100,30,31/12/2019
550,Sponge Cake Mix - Vanilla,27,39,16/03/2019
551,"Fish - Soup Base, Bouillon",19,49,27/09/2019
552,Cheese - Provolone,35,15,24/01/2020
553,"Juice - Pineapple, 48 Oz",64,3,22/03/2020
554,Bread - Multigrain Oval,35,2,17/10/2019
555,"Pork - Loin, Boneless",40,73,14/07/2019
556,Oxtail - Cut,12,36,06/03/2020
557,Chocolate Bar - Coffee Crisp,88,32,16/02/2019
558,Tea - Green,46,28,16/02/2020
559,Beef Cheek Fresh,95,11,24/01/2019
560,Papayas,25,3,27/04/2019
561,Longos - Cheese Tortellini,46,61,10/06/2019
562,Mix - Cocktail Ice Cream,53,43,22/11/2019
563,Bag - Clear 7 Lb,57,52,19/03/2020
564,Lamb Rack Frenched Australian,70,5,04/01/2019
565,Tea - English Breakfast,51,82,26/01/2019
566,"Tendrils - Baby Pea, Organic",63,78,10/06/2019
567,"Ham - Smoked, Bone - In",25,48,14/01/2019
568,Glaze - Apricot,51,68,19/11/2019
569,Mushroom - Portebello,49,55,27/02/2020
570,"Veal - Inside, Choice",90,10,09/04/2019
571,Mousse - Passion Fruit,23,69,26/02/2020
572,Bar Energy Chocchip,31,79,11/01/2019
573,Jello - Assorted,79,61,19/04/2019
574,Wine - Barolo Fontanafredda,41,11,27/02/2020
575,Five Alive Citrus,35,47,01/02/2020
576,Lid Tray - 12in Dome,85,97,08/04/2020
577,Wine - Black Tower Qr,82,25,09/02/2019
578,Nut - Macadamia,80,12,07/04/2020
579,Leeks - Large,13,97,26/05/2019
580,"Basil - Dry, Rubbed",79,7,15/04/2019
581,Pie Box - Cello Window 2.5,80,70,17/02/2020
582,"Soup - Campbells, Minestrone",83,89,18/03/2020
583,"Syrup - Monin, Irish Cream",35,15,19/03/2020
584,Sauce - Sesame Thai Dressing,51,91,27/07/2019
585,"Jam - Marmalade, Orange",74,26,18/03/2019
586,Milk - Condensed,14,49,23/03/2019
587,Sour Puss Sour Apple,49,2,27/01/2020
588,Sugar - Brown,20,5,11/05/2019
589,"Shrimp - 21/25, Peel And Deviened",66,96,23/06/2019
590,Muffin - Mix - Strawberry Rhubarb,39,9,13/06/2019
591,"Seedlings - Buckwheat, Organic",78,31,15/07/2019
592,Whmis - Spray Bottle Trigger,21,60,09/10/2019
593,Shrimp - Prawn,92,1,31/12/2019
594,Corn Syrup,81,4,10/01/2019
595,Coffee Beans - Chocolate,96,62,06/03/2020
596,Tofu - Firm,2,77,07/01/2020
597,Celery,7,68,19/08/2019
598,Plastic Arrow Stir Stick,62,77,05/12/2019
599,Napkin White - Starched,80,60,08/01/2020
600,Sprouts - Corn,90,70,14/01/2019
601,Radish,63,89,06/06/2019
602,Onions - Red Pearl,42,75,14/04/2019
603,Sunflower Seed Raw,32,23,31/05/2019
604,Cheese - Swiss,9,73,02/09/2019
605,"Pepper - Black, Whole",17,92,26/01/2020
606,Grouper - Fresh,37,33,08/02/2019
607,Sauce Tomato Pouch,52,38,26/10/2019
608,Tea - Camomele,46,56,26/02/2020
609,Tea - Herbal I Love Lemon,6,26,18/03/2019
610,Peppercorns - Green,34,41,19/07/2019
611,"Napkin - Beverge, White 2 - Ply",96,51,04/12/2019
612,Pear - Asian,44,80,04/05/2019
613,Garbage Bags - Clear,82,11,15/06/2019
614,Chinese Foods - Cantonese,72,6,05/11/2019
615,"Trout - Rainbow, Fresh",47,10,26/03/2020
616,Flower - Commercial Bronze,74,12,23/06/2019
617,Chocolate - Liqueur Cups With Foil,97,91,19/03/2019
618,Ham - Virginia,3,65,22/02/2019
619,Clementine,52,40,28/08/2019
620,"Soup - Campbells, Beef Barley",91,63,10/10/2019
621,Juice - Apple Cider,81,79,11/01/2019
622,Wine - Vovray Sec Domaine Huet,12,74,06/11/2019
623,"Brandy - Orange, Mc Guiness",25,68,05/12/2019
624,Miso Paste White,43,92,27/03/2020
625,Basil - Seedlings Cookstown,48,35,04/06/2019
626,Beer - Corona,28,82,22/03/2020
627,Oven Mitts 17 Inch,50,70,04/08/2019
628,Sandwich Wrap,39,11,05/05/2019
629,Ocean Spray - Ruby Red,94,43,28/01/2019
630,Mussels - Cultivated,21,61,01/04/2019
631,Mushroom - Portebello,76,22,09/01/2020
632,Foam Tray S2,12,17,22/06/2019
633,"Bread - Roll, Calabrese",25,60,14/02/2019
634,Pork - Bacon Cooked Slcd,7,45,12/04/2019
635,Bacardi Limon,13,20,20/03/2019
636,"Salmon - Whole, 4 - 6 Pounds",14,62,16/04/2019
637,Chocolate - Dark,96,22,04/02/2020
638,Mushrooms - Honey,21,24,23/02/2019
639,"Veal - Insides, Grains",72,27,09/04/2019
640,Bacardi Limon,98,67,23/02/2020
641,"Mustard - Dry, Powder",90,80,07/07/2019
642,Cake - Cake Sheet Macaroon,51,51,02/02/2020
643,Longos - Chicken Caeser Salad,81,34,02/02/2019
644,Apple - Northern Spy,83,85,26/10/2019
645,Beans - Fava Fresh,18,19,07/05/2019
646,Ice Cream Bar - Hageen Daz To,60,78,16/05/2019
647,Hipnotiq Liquor,40,60,07/05/2019
648,Appetizer - Escargot Puff,3,34,10/11/2019
649,Steam Pan Full Lid,45,27,17/03/2019
650,Pop Shoppe Cream Soda,17,77,30/07/2019
651,Salt - Kosher,29,98,03/10/2019
652,Wine - Malbec Trapiche Reserve,9,31,05/02/2020
653,Nantucket - 518ml,17,100,08/02/2020
654,Rice - Jasmine Sented,26,19,30/04/2019
655,Radish - Pickled,50,98,24/09/2019
656,"Juice - Clam, 46 Oz",98,10,15/03/2020
657,Frangelico,62,73,26/09/2019
658,Bagel - Ched Chs Presliced,57,30,14/05/2019
659,Salt - Kosher,13,27,24/02/2019
660,Bread - Italian Sesame Poly,93,19,15/11/2019
661,Onion - Dried,45,2,25/08/2019
662,Turkey Tenderloin Frozen,39,72,06/05/2019
663,Table Cloth 72x144 White,30,39,19/04/2019
664,Buffalo - Short Rib Fresh,21,91,17/02/2020
665,"Juice - Cranberry, 341 Ml",15,5,15/07/2019
666,"Soup - Campbells, Chix Gumbo",70,19,19/01/2019
667,Seedlings - Clamshell,17,34,08/09/2019
668,"Tendrils - Baby Pea, Organic",48,3,13/12/2019
669,Pork - Inside,18,74,27/05/2019
670,Parsnip,51,24,09/06/2019
671,Chocolate - White,11,59,07/04/2019
672,Wine - Lou Black Shiraz,99,40,15/08/2019
673,Wine - Chablis J Moreau Et Fils,85,59,05/01/2019
674,Rice - Long Grain,90,21,18/01/2020
675,Bread - Pain Au Liat X12,98,26,24/03/2020
676,Carbonated Water - White Grape,3,42,24/12/2019
677,Coffee Swiss Choc Almond,44,47,03/10/2019
678,Bread - Kimel Stick Poly,78,12,22/07/2019
679,Teriyaki Sauce,94,91,04/12/2019
680,"Butter - Salted, Micro",42,94,22/02/2020
681,Lime Cordial - Roses,71,1,04/10/2019
682,Steam Pan - Half Size Deep,92,40,12/01/2020
683,Cucumber - Pickling Ontario,80,71,17/04/2019
684,Towels - Paper / Kraft,3,81,11/12/2019
685,"Lid - 10,12,16 Oz",97,93,06/03/2019
686,"Cheese - Mozzarella, Shredded",69,4,04/10/2019
687,Sugar - White Packet,90,46,14/03/2020
688,Orange - Tangerine,75,28,20/04/2019
689,Dried Cranberries,11,97,10/04/2019
690,"Chilli Paste, Sambal Oelek",33,55,14/12/2019
691,Coffee Decaf Colombian,97,93,06/03/2019
692,Ecolab Digiclean Mild Fm,6,66,04/10/2019
693,Pepper - Scotch Bonnet,28,57,16/04/2019
694,Beer - Creemore,82,98,15/11/2019
695,Guava,28,61,27/12/2019
696,"Beef - Tongue, Fresh",32,96,24/03/2019
697,Beer - Camerons Cream Ale,100,53,19/09/2019
698,Pork - Sausage Casing,38,38,05/03/2019
699,"Cheese - Boursin, Garlic / Herbs",51,88,07/04/2019
700,Sauce - Soy Low Sodium - 3.87l,40,91,13/08/2019
701,"Tea - Darjeeling, Azzura",59,5,07/09/2019
702,Container - Hngd Cll Blk 7x7x3,88,90,06/06/2019
703,Longos - Chicken Wings,61,16,20/01/2020
704,Coffee Beans - Chocolate,41,26,04/09/2019
705,Trueblue - Blueberry 12x473ml,60,33,22/07/2019
706,Sauce - Chili,21,90,17/10/2019
707,Rhubarb,27,36,01/06/2019
708,Longos - Lasagna Veg,92,26,01/04/2019
709,Peppercorns - Pink,33,85,07/02/2020
710,Beef - Top Sirloin - Aaa,36,59,14/03/2020
711,Chocolate - Feathers,61,80,31/07/2019
712,Soup - Campbells - Chicken Noodle,14,66,31/08/2019
713,Sprouts - China Rose,93,60,22/03/2020
714,Sugar - Crumb,21,91,26/03/2020
715,Spice - Montreal Steak Spice,45,68,19/12/2019
716,"Pasta - Penne, Lisce, Dry",70,73,12/11/2019
717,"Wine - Sherry Dry Sack, William",55,14,31/12/2019
718,Paper - Brown Paper Mini Cups,48,88,25/03/2019
719,Cookie Dough - Chocolate Chip,93,44,19/01/2020
720,Shopper Bag - S - 4,4,59,10/09/2019
721,Piping - Bags Quizna,86,36,15/04/2019
722,Sobe - Berry Energy,79,54,29/05/2019
723,Foie Gras,23,93,01/03/2020
724,Saskatoon Berries - Frozen,60,26,01/01/2020
725,Oil - Canola,10,88,21/05/2019
726,Cape Capensis - Fillet,36,66,16/09/2019
727,Puree - Mango,9,100,11/02/2020
728,Crab - Meat,46,90,08/01/2019
729,Muffin - Mix - Mango Sour Cherry,92,100,15/04/2019
730,Pepper - Gypsy Pepper,92,24,29/04/2019
731,Compound - Mocha,93,2,18/05/2019
732,Milk 2% 500 Ml,25,39,26/03/2020
733,Beer - Mcauslan Apricot,46,41,07/02/2019
734,"Pasta - Orzo, Dry",33,68,04/04/2020
735,Smoked Paprika,48,38,05/01/2019
736,"Salmon - Atlantic, Fresh, Whole",7,54,05/04/2020
737,Mint - Fresh,78,9,18/01/2019
738,Pears - Anjou,40,42,27/07/2019
739,"Soup - Campbells, Butternut",83,29,14/07/2019
740,Wine - Rhine Riesling Wolf Blass,79,90,20/03/2019
741,"Oranges - Navel, 72",47,52,18/01/2020
742,Sauce - Chili,73,68,20/01/2019
743,Rosemary - Dry,68,7,25/01/2020
744,Soup Knorr Chili With Beans,44,52,20/08/2019
745,Pepper - Chili Powder,62,86,22/05/2019
746,Dc - Frozen Momji,40,22,21/09/2019
747,Wine - Penfolds Koonuga Hill,57,78,28/04/2019
748,Tuna - Loin,74,55,02/01/2020
749,Snapple Raspberry Tea,90,40,09/06/2019
750,Tamarillo,54,97,11/06/2019
751,Pastry - Trippleberry Muffin - Mini,67,97,18/04/2019
752,Wine - Magnotta - Cab Franc,68,44,27/08/2019
753,Bread - Hamburger Buns,73,35,30/11/2019
754,Sugar Thermometer,68,50,01/03/2020
755,"Flour - Corn, Fine",65,33,26/03/2020
756,Sauce - Fish 25 Ozf Bottle,77,39,01/12/2019
757,"Wine - Red, Colio Cabernet",76,84,13/05/2019
758,Pepper - Green Thai,70,39,03/04/2019
759,Syrup - Kahlua Chocolate,60,86,10/08/2019
760,True - Vue Containers,34,5,09/10/2019
761,"Onions - Dried, Chopped",65,100,31/05/2019
762,Longos - Chicken Curried,13,41,25/09/2019
763,Wine - Casillero Deldiablo,22,24,31/08/2019
764,Blueberries - Frozen,35,42,24/05/2019
765,Wine - Guy Sage Touraine,20,61,21/01/2019
766,Beer - Tetleys,33,88,16/03/2020
767,Beef - Ox Tongue,34,4,16/02/2019
768,Persimmons,53,68,23/03/2020
769,"Beef - Ground, Extra Lean, Fresh",98,67,24/04/2019
770,Bagelers,46,67,13/10/2019
771,"Bread - Roll, Whole Wheat",14,54,22/01/2020
772,Sesame Seed Black,50,100,10/08/2019
773,"Pork - Chop, Frenched",98,86,05/03/2020
774,V8 Pet,74,86,23/05/2019
775,Wine - Port Late Bottled Vintage,23,82,30/01/2020
776,"Soup - Campbells, Classic Chix",14,83,13/09/2019
777,Sauce - Fish 25 Ozf Bottle,49,51,26/03/2019
778,Canadian Emmenthal,22,86,14/01/2020
779,Vaccum Bag 10x13,26,22,10/10/2019
780,Bar Bran Honey Nut,93,74,31/01/2020
781,Pastry - Apple Muffins - Mini,71,89,10/04/2020
782,Halibut - Fletches,65,86,14/09/2019
783,Fruit Mix - Light,56,1,18/07/2019
784,Cheese - Stilton,70,83,20/03/2019
785,Dried Figs,79,5,15/07/2019
786,Chocolate Liqueur - Godet White,73,16,17/02/2019
787,Chocolate Bar - Coffee Crisp,33,38,01/12/2019
788,Swordfish Loin Portions,58,34,17/05/2019
789,Pork Casing,82,66,04/01/2019
790,Strawberries - California,26,95,01/02/2020
791,Nutmeg - Ground,56,30,02/02/2020
792,Fib N9 - Prague Powder,54,46,17/10/2019
793,"Plate - Foam, Bread And Butter",48,100,26/12/2019
794,"Nut - Pine Nuts, Whole",13,2,14/01/2020
795,Duck - Whole,6,87,20/01/2019
796,"Tendrils - Baby Pea, Organic",42,98,12/04/2020
797,Beef - Ground Medium,38,47,11/08/2019
798,Basil - Seedlings Cookstown,3,47,14/12/2019
799,Nougat - Paste / Cream,99,90,13/10/2019
800,Sponge Cake Mix - Chocolate,71,40,01/12/2019
801,"Soup - Beef Conomme, Dry",12,16,14/05/2019
802,"Plate - Foam, Bread And Butter",20,69,24/01/2019
803,Fond - Chocolate,33,82,06/12/2019
804,Beef Dry Aged Tenderloin Aaa,1,43,21/01/2019
805,Durian Fruit,55,48,16/01/2020
806,Beef Wellington,67,87,28/07/2019
807,Mix - Cocktail Ice Cream,95,40,22/06/2019
808,Beer - Camerons Cream Ale,24,54,26/12/2019
809,Icecream - Dstk Cml And Fdg,19,54,27/12/2019
810,Vaccum Bag 10x13,39,49,24/03/2020
811,Chocolate - Liqueur Cups With Foil,77,19,27/12/2019
812,Muffin Puck Ww Carrot,57,39,22/03/2020
813,Extract - Lemon,88,20,20/11/2019
814,"Cheese - Mozzarella, Shredded",35,45,09/01/2019
815,Sponge Cake Mix - Chocolate,27,8,30/03/2020
816,"Bread - Bagels, Mini",97,95,08/08/2019
817,Wine - Ruffino Chianti Classico,59,20,26/06/2019
818,Hinge W Undercut,9,94,12/02/2020
819,"Olives - Green, Pitted",73,91,31/12/2019
820,Crackers - Trio,88,43,02/04/2020
821,Wine - Vovray Sec Domaine Huet,83,38,27/02/2020
822,Sauce - Roasted Red Pepper,23,78,27/01/2019
823,Beef - Striploin,82,63,02/08/2019
824,Dr. Pepper - 355ml,40,49,21/11/2019
825,"Wine - Red, Harrow Estates, Cab",87,41,08/07/2019
826,"Pasta - Cappellini, Dry",61,96,17/05/2019
827,Vinegar - Champagne,2,15,06/04/2020
828,Wine - Crozes Hermitage E.,21,14,09/01/2019
829,Steamers White,95,42,30/01/2020
830,"Rum - Cream, Amarula",47,92,31/10/2019
831,Liquid Aminios Acid - Braggs,29,45,01/04/2019
832,Coffee Caramel Biscotti,67,43,25/08/2019
833,Carbonated Water - Cherry,95,29,17/03/2020
834,Rice Wine - Aji Mirin,74,49,06/06/2019
835,"Coke - Classic, 355 Ml",6,24,06/07/2019
836,Tea - Honey Green Tea,93,88,11/02/2019
837,Sage - Rubbed,89,4,23/06/2019
838,Cheese - Pont Couvert,12,28,28/03/2020
839,Liners - Baking Cups,54,95,26/03/2019
840,Pork - Ground,94,60,27/01/2020
841,Lamb Shoulder Boneless Nz,48,92,12/04/2020
842,Tomatoes - Heirloom,66,97,10/10/2019
843,"Potatoes - Yukon Gold, 80 Ct",75,31,29/07/2019
844,Onions - Cippolini,81,11,14/02/2019
845,Piping - Bags Quizna,36,100,26/08/2019
846,Food Colouring - Orange,13,69,04/11/2019
847,Onions - Spanish,64,11,04/07/2019
848,Asparagus - Mexican,38,79,11/05/2019
849,"Juice - Apple, 500 Ml",26,38,01/09/2019
850,Wine - Two Oceans Cabernet,57,89,31/01/2020
851,Foam Cup 6 Oz,33,96,21/02/2019
852,Greens Mustard,6,64,08/11/2019
853,Wine - Trimbach Pinot Blanc,53,75,15/05/2019
854,Rhubarb,40,37,11/06/2019
855,Ginger - Fresh,41,5,13/03/2019
856,Vinegar - White,67,46,04/12/2019
857,Sauce - Thousand Island,46,38,21/03/2019
858,Kale - Red,43,32,08/03/2020
859,Cheese - Brick With Onion,84,71,23/10/2019
860,Chives - Fresh,80,34,21/03/2020
861,Pepper - Orange,11,3,03/01/2020
862,Wine - Pinot Noir Pond Haddock,35,45,25/05/2019
863,Sea Urchin,76,65,23/02/2020
864,Tofu - Soft,69,35,09/01/2020
865,Tea - Lemon Green Tea,5,67,19/04/2019
866,Island Oasis - Mango Daiquiri,77,75,02/03/2019
867,Flavouring Vanilla Artificial,31,87,21/04/2019
868,Squid U5 - Thailand,68,65,11/04/2019
869,Egg Patty Fried,94,98,03/04/2020
870,"Pasta - Penne Primavera, Single",16,90,16/08/2019
871,Corn Syrup,85,58,03/08/2019
872,Crush - Cream Soda,20,69,11/10/2019
873,Tea - Herbal I Love Lemon,97,1,16/05/2019
874,Huck Towels White,22,24,18/10/2019
875,Paper - Brown Paper Mini Cups,26,86,25/05/2019
876,Lychee,28,12,05/06/2019
877,Crackers - Trio,94,44,26/03/2020
878,"Nut - Almond, Blanched, Ground",93,52,08/07/2019
879,Garbage Bag - Clear,38,52,30/11/2019
880,Soup Campbells - Italian Wedding,50,70,31/10/2019
881,Longos - Grilled Salmon With Bbq,59,73,17/01/2020
882,Curry Paste - Madras,44,73,23/07/2019
883,"Crush - Orange, 355ml",95,68,28/10/2019
884,"Cheese - Boursin, Garlic / Herbs",54,21,03/02/2019
885,"Napkin - Dinner, White",5,18,24/03/2020
886,Cheese - Bakers Cream Cheese,66,15,18/10/2019
887,Pizza Pizza Dough,72,72,09/09/2019
888,Wine - Lou Black Shiraz,13,47,20/06/2019
889,Octopus,57,35,09/06/2019
890,Tea - Jasmin Green,72,41,27/12/2019
891,Cafe Royale,80,38,22/04/2019
892,Tomato - Green,3,50,27/09/2019
893,Bread - Calabrese Baguette,21,66,10/08/2019
894,Pears - Anjou,1,95,23/03/2020
895,Squid U5 - Thailand,44,74,11/01/2020
896,Island Oasis - Mango Daiquiri,28,51,21/10/2019
897,Tart - Lemon,29,96,01/02/2019
898,Cookies - Englishbay Oatmeal,11,5,26/01/2019
899,Beef - Shank,60,67,04/05/2019
900,Eggroll,21,9,22/10/2019
901,Sambuca - Ramazzotti,24,83,07/03/2019
902,"Lettuce - Mini Greens, Whole",79,74,14/12/2019
903,Wine - Casablanca Valley,61,27,07/02/2020
904,Salami - Genova,53,41,20/02/2020
905,Onions - Red Pearl,83,28,20/03/2019
906,Gatorade - Lemon Lime,71,86,28/11/2019
907,Toothpick Frilled,56,77,30/03/2020
908,Muffin Mix - Corn Harvest,75,50,07/10/2019
909,"Wine - Magnotta, White",14,26,01/06/2019
910,Coffee Cup 12oz 5342cd,50,36,25/04/2019
911,Sauce - Fish 25 Ozf Bottle,24,87,12/06/2019
912,Vegetable - Base,15,43,14/01/2020
913,"Veal - Shank, Pieces",47,77,11/10/2019
914,Tart - Butter Plain Squares,75,94,07/01/2020
915,Steel Wool,92,15,22/10/2019
916,Chicken - Base,81,13,22/03/2020
917,Wine - Vouvray Cuvee Domaine,76,51,16/05/2019
918,Soup - Campbells Pasta Fagioli,47,62,12/01/2019
919,"Wine - White, Ej Gallo",9,1,24/07/2019
920,"Bread - White, Sliced",100,55,26/04/2019
921,Bread - Ciabatta Buns,79,6,02/03/2020
922,Oil - Grapeseed Oil,17,12,19/01/2019
923,"Cheese - Havarti, Roasted Garlic",46,49,19/02/2020
924,Lemon Balm - Fresh,33,93,29/09/2019
925,"Red Snapper - Fresh, Whole",49,20,27/01/2020
926,Cabbage - Red,4,26,07/03/2020
927,Cake Slab,48,7,21/02/2020
928,Pork Ham Prager,38,75,23/10/2019
929,Chip - Potato Dill Pickle,8,7,02/01/2019
930,Chicken - Base,12,60,01/04/2020
931,Mcguinness - Blue Curacao,30,47,13/11/2019
932,Bag - Regular Kraft 20 Lb,41,23,23/01/2019
933,"Chicken - White Meat, No Tender",52,35,06/08/2019
934,Apple - Royal Gala,83,17,15/02/2019
935,Thermometer Digital,76,99,20/07/2019
936,Tomatoes - Yellow Hot House,40,90,24/02/2020
937,"Wine - White, Pelee Island",65,25,13/03/2020
938,Mustard - Seed,3,50,16/11/2019
939,Brandy Cherry - Mcguinness,15,44,04/03/2020
940,Wine - Sauvignon Blanc,81,38,19/01/2019
941,Milk - 2% 250 Ml,72,50,17/06/2019
942,Pasta - Angel Hair,99,74,06/04/2019
943,Lamb - Bones,28,29,06/04/2020
944,Cheese - St. Paulin,28,43,25/03/2020
945,"Sprite, Diet - 355ml",46,4,08/09/2019
946,Pancetta,20,7,11/09/2019
947,Carbonated Water - Raspberry,58,98,09/03/2020
948,Latex Rubber Gloves Size 9,29,97,11/04/2020
949,Noodles - Steamed Chow Mein,3,6,12/08/2019
950,Greens Mustard,55,19,23/04/2019
951,Energy Drink Red Bull,7,23,01/04/2020
952,Beer - Moosehead,17,86,12/10/2019
953,Water Chestnut - Canned,61,95,17/07/2019
954,Chef Hat 25cm,24,73,07/09/2019
955,Sloe Gin - Mcguinness,26,74,15/01/2019
956,Chocolate - Mi - Amere Semi,51,33,03/04/2020
957,Soup Campbells,98,65,19/01/2020
958,Oil - Olive Bertolli,30,85,10/01/2020
959,Marjoram - Fresh,23,99,03/02/2019
960,"Pork - Loin, Bone - In",99,36,08/03/2019
961,Beer - Blue Light,70,25,31/03/2020
962,Truffle Shells - Semi - Sweet,51,23,08/09/2019
963,Sambuca - Opal Nera,30,63,03/12/2019
964,Apples - Sliced / Wedge,83,96,06/06/2019
965,Melon - Honey Dew,98,96,07/07/2019
966,Madeira,85,73,14/06/2019
967,Banana Turning,95,94,18/03/2020
968,Shiro Miso,90,39,07/04/2020
969,Soup - Campbells Mac N Cheese,43,29,15/02/2019
970,Isomalt,86,8,10/10/2019
971,"Coconut - Shredded, Sweet",12,78,27/07/2019
972,"Turkey - Whole, Fresh",57,76,18/10/2019
973,"Shrimp - 16/20, Iqf, Shell On",41,74,23/03/2020
974,Kellogs Cereal In A Cup,27,22,02/05/2019
975,"Crab - Blue, Frozen",28,17,02/08/2019
976,"Tart Shells - Savory, 3",93,88,19/02/2019
977,Wine - Kwv Chenin Blanc South,57,54,25/11/2019
978,Pear - Prickly,20,100,13/04/2019
979,Olives - Morracan Dired,8,6,13/10/2019
980,Calaloo,66,7,03/02/2020
981,Fenngreek Seed,12,87,24/03/2020
982,Corn Meal,6,6,06/02/2019
983,Lettuce - Boston Bib,37,22,18/10/2019
984,"Tart Shells - Sweet, 4",12,47,06/01/2019
985,Wine - Rhine Riesling Wolf Blass,34,49,05/08/2019
986,Sugar - Palm,1,84,15/07/2019
987,Lettuce - Arugula,93,5,11/03/2019
988,Bread - Olive Dinner Roll,63,71,16/02/2019
989,Wine - Ej Gallo Sierra Valley,60,41,04/03/2020
990,Cheese - Bakers Cream Cheese,78,62,02/07/2019
991,Mousse - Mango,27,33,03/09/2019
992,"Mushroom - Trumpet, Dry",67,61,20/06/2019
993,Cloves - Whole,87,64,21/06/2019
994,"Halibut - Whole, Fresh",86,16,11/05/2019
995,"Veal - Shank, Pieces",23,60,08/01/2019
996,Beer - Upper Canada Lager,22,92,14/12/2019
997,Almonds Ground Blanched,92,76,11/02/2019
998,Kumquat,51,49,12/02/2019
999,Hagen Daza - Dk Choocolate,84,61,20/02/2019
1000,Sansho Powder,69,26,11/03/2020
